"Name_std" "mass"
"Cucullia umbratica" 0.0754041287534837
"Cucullia verbasci" 0.0723202182356963
"Cybosia mesomella" 0.0166761595313272
"Cyclophora albiocellaria" 0.00511121460243484
"Cyclophora albipunctata" 0.00511121460243484
"Cyclophora annularia" 0.0053618389467158
"Cyclophora linearia" 0.0062974551608622
"Cyclophora pendularia" 0.00615815493079236
"Cyclophora porata" 0.00615815493079236
"Cyclophora punctaria" 0.00672682497679267
"Cyclophora puppillaria" 0.0108086156543609
"Cyclophora quercimontaria" 0.00672682497679267
"Cyclophora ruficiliaria" 0.00561981959164652
"Cyclophora suppunctaria" 0.007022721856594
"Cymatophorina diluta" 0.0379894589811264
"Dasypolia ferdinandi" 0.0675020073627308
"Dasypolia templi" 0.0675020073627308
"Deilephila elpenor" 0.220743306530057
"Deilephila porcellus" 0.0923639604444735
"Deileptenia ribeata" 0.0209927349279077
"Deltote bankiana" 0.0236053424550922
"Deltote deceptoria" 0.0228564740793228
"Deltote pygarga" 0.0239836773487894
"Deltote uncula" 0.0206727004321557
"Dendrolimus pini" 0.223213421764789
"Denticucullus pygmina" 0.0267043141463583
"Diachrysia chrysitis aggr." 0.036972401678864
"Diachrysia chryson" 0.0735471133370156
"Diachrysia nadeja" 0.0416697146804472
"Diacrisia purpurata" 0.0468081556502287
"Diacrisia sannio" 0.0355519769628631
"Diaphora mendica" 0.0221685652908289
"Diaphora sordida" 0.0110706445257177
"Diarsia brunnea" 0.052844929875311
"Diarsia dahlii" 0.0407108963337271
"Diarsia mendica" 0.0360621328837277
"Diarsia rubi" 0.0342710532584822
"Dichagyris candelisequa" 0.061681931800524
"Dichagyris flammatra" 0.0785434473294303
"Dichagyris forcipula" 0.052844929875311
"Dichagyris musiva" 0.0549988349245568
"Dichagyris nigrescens" 0.0571897678184938
"Dichagyris signifera" 0.046607444027201
"Dichagyris vallesiaca" 0.0407108963337271
"Dichonia convergens" 0.0436161681283483
"Dicycla oo" 0.0436161681283483
"Diloba caeruleocephala" 0.0426381486857565
"Drepana curvatula" 0.0379894589811264
"Drepana falcataria" 0.0379894589811264
"Drymonia dodonaea" 0.0395161448945186
"Drymonia obliterata" 0.0379894589811264
"Drymonia querna" 0.0571149890442404
"Drymonia ruficornis" 0.0532427556008159
"Drymonia velitaris" 0.046035837691926
"Dryobotodes eremita" 0.0436161681283483
"Dypterygia scabriuscula" 0.0426381486857565
"Dysgonia algira" 0.0380665650461083
"Dysstroma citrata" 0.00828509897218446
"Dysstroma truncata" 0.0112028984697103
"Earias biplaga" 0.00737124077358663
"Earias clorana" 0.00688266992782653
"Earias vernana" 0.00955894672810124
"Earophila badiata" 0.00862075199684945
"Ecliptopera capitata" 0.00561981959164652
"Ecliptopera silaceata" 0.007022721856594
"Ectropis crepuscularia" 0.0156325274529272
"Egira conspicillaris" 0.052844929875311
"Eilema caniola" 0.0200002432074881
"Eilema cereola" 0.0120840420541157
"Eilema complana" 0.0200002432074881
"Eilema depressa" 0.0207083384902403
"Eilema griseola" 0.0221685652908289
"Eilema lurideola" 0.0244703870485974
"Eilema lutarella" 0.0142707426402189
"Eilema palliatella" 0.0236881264288638
"Eilema pseudocomplana" 0.0221685652908289
"Eilema pygmaeola" 0.0131504621858748
"Eilema sororcula" 0.0142707426402189
"Elaphria venustula" 0.0185841989424987
"Electrophaes corylata" 0.00672682497679267
"Elophos caelibaria" 0.00795754120965203
"Elophos operaria" 0.0137526100919633
"Ematurga atomaria" 0.00763800719467768
