"Name_std" "overwintering_stage"
"Eupithecia subumbrata" "pupa"
"Eupithecia succenturiata" "pupa"
"Eupithecia tantillaria" "pupa"
"Eupithecia tenuiata" "egg"
"Eupithecia tripunctaria" "pupa"
"Eupithecia trisignaria" "pupa"
"Eupithecia undata" "pupa"
"Eupithecia valerianata" "pupa"
"Eupithecia venosata" "pupa"
"Eupithecia veratraria" "pupa"
"Eupithecia virgaureata" "pupa"
"Eupithecia vulgata" "pupa"
"Eustroma reticulata" "pupa"
"Fagivorina arenaria" "pupa"
"Gagitodes sagittata" "pupa"
"Gandaritis pyraliata" "egg"
"Geometra papilionaria" "larva"
"Gnophos furvata" "larva"
"Gnophos obfuscata" "larva"
"Gymnoscelis rufifasciata" "pupa"
"Heliomata glarearia" "pupa"
"Hemistola chrysoprasaria" "larva"
"Hemithea aestivaria" "larva"
"Horisme aemulata" "pupa"
"Horisme calligraphata" "pupa"
"Horisme radicaria" "pupa"
"Horisme tersata" "pupa"
"Horisme vitalbata" "pupa"
"Hydrelia flammeolaria" "pupa"
"Hydrelia sylvata" "pupa"
"Hydria cervinalis" "pupa"
"Hydria montivagata" "pupa"
"Hydria undulata" "pupa"
"Hydriomena furcata" "egg"
"Hydriomena impluviata" "pupa"
"Hydriomena ruberata" "pupa"
"Hylaea fasciaria" "larva"
"Hypomecis punctinalis" "pupa"
"Hypomecis roboraria" "larva"
"Idaea aureolaria" "larva"
"Idaea aversata" "larva"
"Idaea biselata" "larva"
"Idaea calunetaria" "pupa"
"Idaea contiguaria" "larva"
"Idaea degeneraria" "larva"
"Idaea deversaria" "larva"
"Idaea dilutaria" "larva"
"Idaea dimidiata" "larva"
"Idaea emarginata" "larva"
"Idaea flaveolaria" "larva"
"Idaea fuscovenosa" "larva"
"Idaea humiliata" "larva"
"Idaea inquinata" "larva"
"Idaea laevigata" "larva"
"Idaea macilentaria" "larva"
"Idaea moniliata" "larva"
"Idaea muricata" "larva"
"Idaea nitidata" "larva"
"Idaea obsoletaria" "larva"
"Idaea ochrata" "larva"
"Idaea politaria" "larva"
"Idaea rubraria" "larva"
"Idaea rufaria" "larva"
"Idaea rusticata" "larva"
"Idaea seriata" "larva"
"Idaea sericeata" "larva"
"Idaea serpentata" "larva"
"Idaea straminata" "larva"
"Idaea subsericeata" "larva"
"Idaea sylvestraria" "larva"
"Idaea trigeminata" "larva"
"Idaea typicata" "larva"
"Isturgia arenacearia" "pupa"
"Jodis lactearia" "pupa"
"Jodis putata" "pupa"
"Lampropteryx suffumata" "pupa"
"Larentia clavaria" "egg"
"Ligdia adustata" "pupa"
"Lobophora halterata" "pupa"
"Lomaspilis marginata" "pupa"
