"taxonID" "Name_std"
"infospecies.ch:infofauna:31390" "Cyclophora albiocellaria"
"infospecies.ch:infofauna:31391" "Cyclophora albipunctata"
"infospecies.ch:infofauna:31392" "Cyclophora annularia"
"infospecies.ch:infofauna:31393" "Cyclophora linearia"
"infospecies.ch:infofauna:31394" "Cyclophora pendularia"
"infospecies.ch:infofauna:31395" "Cyclophora porata"
"infospecies.ch:infofauna:31396" "Cyclophora punctaria"
"infospecies.ch:infofauna:31397" "Cyclophora puppillaria"
"infospecies.ch:infofauna:31398" "Cyclophora quercimontaria"
"infospecies.ch:infofauna:31399" "Cyclophora ruficiliaria"
"infospecies.ch:infofauna:31400" "Cyclophora suppunctaria"
"infospecies.ch:infofauna:31272" "Cymatophorina diluta"
"infospecies.ch:infofauna:32272" "Dasypolia ferdinandi"
"infospecies.ch:infofauna:32273" "Dasypolia templi"
"infospecies.ch:infofauna:30973" "Deilephila elpenor"
"infospecies.ch:infofauna:30974" "Deilephila porcellus"
"infospecies.ch:infofauna:31401" "Deileptenia ribeata"
"infospecies.ch:infofauna:32274" "Deltote bankiana"
"infospecies.ch:infofauna:32445" "Deltote deceptoria"
"infospecies.ch:infofauna:32446" "Deltote pygarga"
"infospecies.ch:infofauna:32352" "Deltote uncula"
"infospecies.ch:infofauna:30901" "Dendrolimus pini"
"infospecies.ch:infofauna:32619" "Denticucullus pygmina"
"infospecies.ch:infofauna:32276" "Diachrysia chrysitis aggr."
"infospecies.ch:infofauna:32279" "Diachrysia chrysitis aggr."
"infospecies.ch:infofauna:90195" "Diachrysia chrysitis aggr."
"infospecies.ch:infofauna:32277" "Diachrysia chryson"
"infospecies.ch:infofauna:32278" "Diachrysia nadeja"
"infospecies.ch:infofauna:32954" "Diacrisia purpurata"
"infospecies.ch:infofauna:32923" "Diacrisia sannio"
"infospecies.ch:infofauna:32925" "Diaphora mendica"
"infospecies.ch:infofauna:32926" "Diaphora sordida"
"infospecies.ch:infofauna:32281" "Diarsia brunnea"
"infospecies.ch:infofauna:32282" "Diarsia dahlii"
"infospecies.ch:infofauna:32285" "Diarsia mendica"
"infospecies.ch:infofauna:32286" "Diarsia rubi"
"infospecies.ch:infofauna:32548" "Dichagyris candelisequa"
"infospecies.ch:infofauna:32551" "Dichagyris flammatra"
"infospecies.ch:infofauna:32552" "Dichagyris forcipula"
"infospecies.ch:infofauna:32554" "Dichagyris musiva"
"infospecies.ch:infofauna:32555" "Dichagyris nigrescens"
"infospecies.ch:infofauna:32559" "Dichagyris signifera"
"infospecies.ch:infofauna:32560" "Dichagyris vallesiaca"
"infospecies.ch:infofauna:32289" "Dichonia convergens"
"infospecies.ch:infofauna:32290" "Dicycla oo"
"infospecies.ch:infofauna:32291" "Diloba caeruleocephala"
"infospecies.ch:infofauna:31281" "Drepana curvatula"
"infospecies.ch:infofauna:31282" "Drepana falcataria"
"infospecies.ch:infofauna:31907" "Drymonia dodonaea"
"infospecies.ch:infofauna:31908" "Drymonia obliterata"
"infospecies.ch:infofauna:31909" "Drymonia querna"
"infospecies.ch:infofauna:31910" "Drymonia ruficornis"
"infospecies.ch:infofauna:31911" "Drymonia velitaris"
"infospecies.ch:infofauna:32300" "Dryobotodes eremita"
"infospecies.ch:infofauna:32304" "Dypterygia scabriuscula"
"infospecies.ch:infofauna:32305" "Dysgonia algira"
"infospecies.ch:infofauna:31362" "Dysstroma citrata"
"infospecies.ch:infofauna:31365" "Dysstroma truncata"
"infospecies.ch:infofauna:32312" "Earias biplaga"
"infospecies.ch:infofauna:32306" "Earias clorana"
"infospecies.ch:infofauna:32308" "Earias vernana"
"infospecies.ch:infofauna:31317" "Earophila badiata"
"infospecies.ch:infofauna:31404" "Ecliptopera capitata"
"infospecies.ch:infofauna:31403" "Ecliptopera silaceata"
"infospecies.ch:infofauna:31407" "Ectropis crepuscularia"
"infospecies.ch:infofauna:32309" "Egira conspicillaris"
